"X","WEEK","sm5a_weekly_avg","sm30a_weekly_avg","sm5b_weekly_avg","sm30b_weekly_avg","sm5c_weekly_avg","sm30c_weekly_avg","sm5a_weekly_min","sm30a_weekly_min","sm5b_weekly_min","sm30b_weekly_min","sm5c_weekly_min","sm30c_weekly_min","stemp5_weekly_avg","stemp30_weekly_avg","snowdepth_weekly_avg","air_weekly_avg","sensor"
27,2,0.145627,0.108282,0.145627,0.108282,0.145627,0.108282,0.144,0.105,0.144,0.105,0.144,0.105,-1.905546,-3.250121,43.873,-7.622578,7
11,34,0.186595427435388,0.250208747514911,0.186595427435388,0.250208747514911,0.186595427435388,0.250208747514911,0.17,0.22,0.17,0.22,0.17,0.22,6.16941252485089,8.42217296222664,12.5099403578529,8.60857654075547,6
493,31,0.165829365079365,0.105762896825397,0.165829365079365,0.105762896825397,0.165829365079365,0.105762896825397,0.158,0.047,0.158,0.047,0.158,0.047,10.0906349206349,11.8881607142857,21.5059523809524,9.56978472222222,16
247,29,0.0435833333333333,-0.0129920634920635,0.0435833333333333,-0.0129920634920635,0.0435833333333333,-0.0129920634920635,0.028,-0.015,0.028,-0.015,0.028,-0.015,14.5375496031746,12.0699503968254,49.2023809523809,13.158185515873,11
357,42,0.193222222222222,0.431982142857143,0.193222222222222,0.431982142857143,0.193222222222222,0.431982142857143,0.185,0.425,0.185,0.425,0.185,0.425,0.389010912698413,1.84870238095238,228,-1.52531349206349,13
489,27,0.276115079365079,0.0494474206349206,0.276115079365079,0.0494474206349206,0.276115079365079,0.0494474206349206,0.26,0.038,0.26,0.038,0.26,0.038,7.51180654761905,10.5274871031746,14.6150793650794,11.9999801587302,16
260,42,0.271383928571429,-0.0141160714285714,0.271383928571429,-0.0141160714285714,0.271383928571429,-0.0141160714285714,0.236,-0.025,0.236,-0.025,0.236,-0.025,0.833204365079365,2.0723125,248.295634920635,-1.93962797619048,11
456,43,0.268785288270378,0.232572564612326,0.268785288270378,0.232572564612326,0.268785288270378,0.232572564612326,0.242,0.222,0.242,0.222,0.242,0.222,2.75226640159046,13.5528031809145,19.0029821073559,1.00899801192843,15
543,24,0.17687996031746,0.100371031746032,0.17687996031746,0.100371031746032,0.17687996031746,0.100371031746032,0.092,0.089,0.092,0.089,0.092,0.089,14.8086706349206,13.0990873015873,72.2509920634921,10.6525525793651,18
551,32,0.141378968253968,0.0943581349206349,0.141378968253968,0.0943581349206349,0.141378968253968,0.0943581349206349,0.081,0.069,0.081,0.069,0.081,0.069,10.0693373015873,8.48386408730159,-5.29166666666667,10.8480297619048,18
588,8,0.0422460317460317,0.0763561507936508,0.0422460317460317,0.0763561507936508,0.0422460317460317,0.0763561507936508,0.035,0.073,0.035,0.073,0.035,0.073,-5.06599702380952,-3.69045634920635,770.776785714286,-14.9443462301587,20
571,33,0.0752767857142857,0.0864394841269841,0.0752767857142857,0.0864394841269841,0.0752767857142857,0.0864394841269841,0.063,0.075,0.063,0.075,0.063,0.075,13.6477192460317,11.6972420634921,0,10.1314722222222,19
592,12,0.0486259920634921,0.0750654761904762,0.0486259920634921,0.0750654761904762,0.0486259920634921,0.0750654761904762,0.041,0.071,0.041,0.071,0.041,0.071,-2.07597817460317,-1.9566626984127,163.988095238095,-5.15146428571429,20
452,39,0.0273710317460317,0.047390873015873,0.0273710317460317,0.047390873015873,0.0273710317460317,0.047390873015873,0.025,0.045,0.025,0.045,0.025,0.045,9.5580376984127,22.329494047619,13.7797619047619,5.98106746031746,15
497,35,0.103190476190476,0.034890873015873,0.103190476190476,0.034890873015873,0.103190476190476,0.034890873015873,0.095,0.023,0.095,0.023,0.095,0.023,10.1554166666667,11.5374285714286,18.7906746031746,9.19982440476191,16
606,26,0.259357142857143,0.230987103174603,0.259357142857143,0.230987103174603,0.259357142857143,0.230987103174603,0.228,0.221,0.228,0.221,0.228,0.221,10.0870992063492,7.05763988095238,20.4037698412698,11.7179523809524,20
355,40,0.10252380952381,0.422306547619048,0.10252380952381,0.422306547619048,0.10252380952381,0.422306547619048,0.065,0.336,0.065,0.336,0.065,0.336,4.53758630952381,4.71502281746032,75.0595238095238,3.0194494047619,13
253,35,0.0723769841269841,-0.0163115079365079,0.0723769841269841,-0.0163115079365079,0.0723769841269841,-0.0163115079365079,0.028,-0.019,0.028,-0.019,0.028,-0.019,12.4312926587302,11.4584226190476,46.9880952380952,9.28303075396825,11
552,33,0.067655753968254,0.0951607142857143,0.067655753968254,0.0951607142857143,0.067655753968254,0.0951607142857143,0.052,0.081,0.052,0.081,0.052,0.081,9.65551488095238,8.54107936507937,-11.2777777777778,9.75519543650794,18
505,43,0.0991597222222222,0.221494047619048,0.0991597222222222,0.221494047619048,0.0991597222222222,0.221494047619048,0.097,0.212,0.097,0.212,0.097,0.212,1.88325793650794,0.898655753968254,69.9642857142857,0.471501984126984,16
415,2,0.181198609731877,0.21701688182721,0.181198609731877,0.21701688182721,0.181198609731877,0.21701688182721,0.175,0.215,0.175,0.215,0.175,0.215,-1.51292750744786,19.0364150943396,199.06454816286,-6.61382025819265,15
516,46,0.38384126984127,0.268220238095238,0.38384126984127,0.268220238095238,0.38384126984127,0.268220238095238,0.372,0.261,0.372,0.261,0.372,0.261,-3.36370436507937,-0.496825396825397,202.062698412699,-7.03737896825397,17
